player,pos,season_start,gp1,goals1,assists1,pts1,pts_gp1,gp2,goals2,assists2,pts2,pts_gp2,gp3,goals3,assists3,pts3,pts_gp3,gp4,goals4,assists4,pts4,pts_gp4,gp5,goals5,assists5,pts5,pts_gp5
ADAM THOMPSON,d,0,10,0,2,2,0.2,20,0,3,3,0.15,40,0,6,6,0.15,50,0,10,10,0.2,59,1,10,11,0.19
ALEC BROWN,d,0,10,0,2,2,0.2,20,1,4,5,0.25,38,3,9,12,0.32,39,3,10,13,0.33,42,3,10,13,0.31
ALEX FERRIER,d,0,10,0,0,0,0,20,0,0,0,0,40,1,1,2,0.05,50,1,5,6,0.12,60,1,7,8,0.13
ANDREA GEORGIOU,f,0,9,1,1,2,0.22,19,2,3,5,0.26,39,5,9,14,0.36,49,6,10,16,0.33,59,6,16,22,0.37
BODE DUNFORD,d,0,10,0,1,1,0.1,20,0,1,1,0.05,40,1,5,6,0.15,50,1,13,14,0.28,60,2,17,19,0.32
BOYD STAHLBAUM,f,0,5,1,0,1,0.2,8,2,1,3,0.38,28,10,12,22,0.79,38,13,17,30,0.79,48,17,23,40,0.83
BRETT PEARCE,d,0,10,1,2,3,0.3,18,1,3,4,0.22,32,3,4,7,0.22,42,6,7,13,0.31,54,7,9,16,0.3
CARSON WHITSON,f,0,10,5,0,5,0.5,20,8,0,8,0.4,40,21,9,30,0.75,49,26,15,41,0.84,59,30,22,52,0.88
COLIN ELLIOTT,f,0,10,1,3,4,0.4,20,5,10,15,0.75,39,10,13,23,0.59,48,12,18,30,0.63,59,16,21,37,0.63
JACKSON ALLEN,f,0,10,0,1,1,0.1,20,1,1,2,0.1,33,2,1,3,0.09,35,2,1,3,0.09,35,2,1,3,0.09
JAKE LEMERE,f,0,10,2,1,3,0.3,19,2,1,3,0.16,38,7,3,10,0.26,48,7,4,11,0.23,58,7,6,13,0.22
JAKE TRAYNOR,f,0,9,0,2,2,0.22,19,4,6,10,0.53,39,7,8,15,0.38,49,9,11,20,0.41,59,9,12,21,0.36
JOHNNY HARRISON,d,0,9,5,2,7,0.78,19,5,5,10,0.53,38,6,10,16,0.42,47,7,15,22,0.47,57,7,18,25,0.44
KIERAN FLYNNN,f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,4,11,1.57,17,9,13,22,1.29
RILEY SILLIPHANT,f,0,10,1,2,3,0.3,20,4,2,6,0.3,39,11,10,21,0.54,49,21,14,35,0.71,59,29,18,47,0.8
THOMAS JOHNSTON,f,0,10,4,1,5,0.5,20,9,3,12,0.6,40,12,9,21,0.53,50,15,15,30,0.6,57,16,21,37,0.65
TOMAS QUICK,f,0,10,0,1,1,0.1,20,1,2,3,0.15,40,5,9,14,0.35,50,7,10,17,0.34,60,9,13,22,0.37
TREVOR ANDREWS,f,0,9,1,0,1,0.11,17,2,2,4,0.24,36,4,5,9,0.25,45,7,6,13,0.29,54,8,6,14,0.26
TYLER CHALLIS,f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,1,11,8,3,11,1